city,lat,lon
Agartala,23.8312,91.2824
Agra,27.1753,78.0098
Ahmedabad,23.0215,72.5801
Aizawl,23.7278,92.718
Ajmer,26.4691,74.639
Akola,20.7618,77.1921
Alwar,27.414,76.617
Amaravati,16.4942,80.5106
Ambala,30.3844,76.7704
Amravati,21.1545,77.6443
Amritsar,31.6357,74.8787
Anantapur,14.6783,77.6065
Angul,21.1025,84.9537
Ankleshwar,21.6293,72.9945
Araria,26.1346,87.4654
Ariyalur,11.1531,79.2586
Arrah,25.5603,84.6632
Asansol,23.6871,86.9747
Aurangabad,19.8773,75.339
Aurangabad (Bihar),24.7532,84.3745
Baddi,30.9763,76.7674
Badlapur,19.1666,73.2389
Bagalkot,16.1793,75.6999
Baghpat,29.0375,77.3063
Bahadurgarh,28.6933,76.9332
Balasore,21.5006,86.9199
Ballabgarh,28.2941,77.3592
Banswara,23.4915,74.3502
Baran,24.9208,76.6822
Barbil,22.1049,85.369
Bareilly,28.4582,79.4047
Baripada,21.9342,86.7309
Barmer,25.5815,71.1925
Barrackpore,22.7642,88.3776
Bathinda,30.1795,75.0471
Begusarai,25.5125,86.0883
Belapur,19.6198,74.6599
Belgaum,15.8573,74.5069
Bengaluru,12.9768,77.5901
Bettiah,26.8023,84.5074
Bhagalpur,25.2861,87.1304
Bharatpur,27.0247,77.292
Bhilai,21.2121,81.3733
Bhilwara,25.471,74.6961
Bhiwadi,28.2039,76.8374
Bhiwandi,19.3026,73.0588
Bhiwani,28.7932,76.1391
Bhopal,23.2585,77.402
Bhubaneswar,20.2603,85.8395
Bidar,18.0207,77.2487
Bihar Sharif,25.1939,85.5209
Bikaner,28.0159,73.3171
Bilaspur,22.1638,82.1366
Bileipada,21.5941,85.7707
Brajrajnagar,21.8499,83.9255
Bulandshahr,28.3874,77.9744
Bundi,25.4368,75.7361
Buxar,25.5045,84.1098
Byasanagar,20.9588,86.1227
Byrnihat,26.0543,91.8696
Chamarajanagar,11.9544,77.1069
Chandigarh,30.7334,76.7797
Chandrapur,20.0968,79.5045
Charkhi Dadri,28.6001,76.1124
Chengalpattu,12.6841,79.9836
Chennai,13.0837,80.2702
Chhal,31.1165,77.5286
Chhapra,25.7733,84.785
Chikkaballapur,13.0994,77.3887
Chikkamagaluru,13.4059,75.6388
Chittoor,13.325,79.6481
Chittorgarh,24.7172,74.4718
Churu,28.2048,74.6913
Coimbatore,11.0018,76.9628
Cuddalore,11.5202,79.3396
Cuttack,20.4686,85.8792
Damoh,23.7981,79.5419
Darbhanga,26.083,86.0325
Dausa,26.8049,76.4437
Davanagere,14.2559,75.8303
Dehradun,30.3256,78.0437
Delhi,28.6139,77.209
Dewas,22.8057,76.294
Dhanbad,23.7953,86.431
Dharuhera,28.2055,76.7953
Dharwad,15.3707,75.1333
Dholpur,26.7011,77.8967
Dhule,21.1305,74.4901
Dindigul,10.4257,77.8157
Durgapur,23.535,87.338
Eloor,10.067,76.2989
Ernakulam,10.0384,76.5074
Faridabad,28.4031,77.3106
Fatehabad,29.5359,75.5753
Firozabad,27.1942,78.4605
Gadag,15.4167,75.6816
GandhiNagar,23.2233,72.6492
Gangtok,27.329,88.6123
Gaya,24.7964,85.008
Ghaziabad,28.775,77.4587
Gorakhpur,26.6678,83.3642
Greater Noida,28.4671,77.5138
Gummidipoondi,13.4309,80.0821
Gurugram,28.4646,77.0299
Guwahati,26.1806,91.7539
Gwalior,26.2037,78.1574
Hajipur,25.6906,85.209
Haldia,22.0281,88.0633
Hanumangarh,29.366,74.2984
Hapur,28.7167,77.8904
Hassan,13.0302,76.1745
Haveri,14.718,75.3656
Hisar,29.2397,75.8175
Hosur,12.7183,77.8229
Howrah,22.5736,88.3251
Hubballi,15.3518,75.138
Hyderabad,17.3606,78.4741
Imphal,24.7991,93.9364
Indore,22.7204,75.8682
Jabalpur,23.1702,79.9325
Jaipur,26.9155,75.819
Jaisalmer,26.9117,70.9125
Jalandhar,31.2922,75.5679
Jalgaon,20.8429,75.5261
Jalna,19.9188,75.8709
Jalore,25.2093,72.3179
Jhalawar,24.3132,76.5221
Jhansi,25.5299,78.6528
Jharsuguda,21.8019,83.9714
Jhunjhunu,28.0799,75.5424
Jind,29.3152,76.3141
Jodhpur,26.2968,73.0351
Jorapokhar,23.7167,86.411
Kadapa,14.4753,78.8217
Kaithal,29.7997,76.399
Kalaburagi,17.2409,76.7697
Kalyan,19.2397,73.1366
Kanchipuram,12.9647,79.984
Kannur,11.8764,75.3738
Kanpur,26.4609,80.3218
Karauli,26.5158,77.0566
Karnal,29.7256,76.9107
Karwar,14.8121,74.1319
Kashipur,29.2118,78.9617
Katihar,25.5586,87.6457
Katni,23.7176,80.261
Keonjhar,21.5,85.5
Khanna,30.7006,76.2221
Khurja,28.2533,77.8539
Kishanganj,26.2984,87.9467
Kochi,9.9679,76.2444
Kohima,25.6619,94.1019
Kolar,13.1805,78.2669
Kolhapur,16.7028,74.2405
Kolkata,22.5726,88.3639
Kollam,8.8871,76.5907
Koppal,15.5748,76.3118
Korba,22.5198,82.635
Kota,25.1737,75.8574
Kozhikode,11.2451,75.7755
Kunjemura,20.8444,85.1511
Kurukshetra,29.9694,76.8483
Latur,18.3553,76.7549
Loni_Dehat,28.7583,77.3005
Loni_Ghaziabad,28.7173,77.287
Lucknow,26.8381,80.9346
Ludhiana,30.909,75.8516
Madikeri,12.4215,75.7388
Mahad,18.0808,73.4244
Maihar,24.2438,81.0447
Mandi Gobindgarh,30.6693,76.2975
Mandideep,23.0938,77.5114
Mandikhera,27.8971,76.9922
Manesar,28.3247,76.9264
Mangalore,12.8698,74.843
Manguraha,26.3583,85.3282
Medikeri,12.4272,75.7476
Meerut,29.0019,77.768
Milupara,21.8782,85.1843
Moradabad,28.8797,78.8095
Motihari,26.6507,84.9115
Mumbai,19.055,72.8692
Munger,25.2203,86.5161
Muzaffarnagar,29.4497,77.7429
Muzaffarpur,26.1483,85.3316
Mysuru,12.3052,76.6554
Nagaon,26.3314,92.7525
Nagaur,26.9873,73.7389
Nagpur,21.1498,79.0821
Naharlagun,27.103,93.6924
Nalbari,26.3534,91.3984
Nanded,19.0943,77.4833
Nandesari,22.4178,73.0949
Narnaul,28.0438,76.1062
Nashik,20.0112,73.7902
Navi Mumbai,19.0308,73.0199
Nayagarh,20.2394,85.0507
Noida,28.5706,77.3272
Ooty,11.4127,76.7031
Pali,25.4552,73.4194
Palkalaiperur,10.8071,78.6881
Palwal,28.0599,77.3223
Panchkula,30.6975,76.8551
Panipat,29.3913,76.9772
Parbhani,19.2902,76.6026
Patiala,30.2093,76.3397
Patna,25.6093,85.1235
Pimpri Chinchwad,18.6279,73.801
Pithampur,22.6106,75.679
Pratapgarh,25.75,81.75
Prayagraj,25.4381,81.8338
Puducherry,10.9156,79.8069
Pune,18.5214,73.8545
Purnia,25.7759,87.4088
Raichur,16.0547,76.9004
Raipur,21.2381,81.6337
Rairangpur,22.2157,86.2325
Rajamahendravaram,17.005,81.7805
Rajgir,25.03,85.4207
Rajsamand,25.2892,73.8241
Ramanagara,12.72,77.3184
Ramanathapuram,9.5206,78.5185
Ratlam,23.5022,74.9552
Rishikesh,30.1087,78.2916
Rohtak,28.9011,76.5802
Rourkela,22.2309,84.8679
Rupnagar,31.0917,76.529
Sagar,23.8083,78.7583
Saharsa,25.8331,86.6144
Salem,11.647,78.2107
Samastipur,25.7748,85.8672
Sangli,17.1727,74.5868
Sasaram,24.951,84.0149
Satna,24.6954,80.777
Sawai Madhopur,26.229,76.3044
Shillong,25.576,91.8828
Shivamogga,13.9326,75.575
Sikar,27.6624,75.028
Silchar,24.8303,92.7876
Siliguri,26.7164,88.431
Singrauli,24.2431,82.3828
Sirohi,24.8114,72.83
Sirsa,29.6063,74.9037
Sivasagar,26.9835,94.6394
Siwan,26.131,84.3911
Solapur,17.8499,75.2763
Sonipat,28.9954,77.0234
Sri Ganganagar,29.4606,73.5851
Srinagar,34.0747,74.8204
Suakati,21.5,85.5833
Surat,21.2095,72.8317
Talcher,20.9322,85.2006
Tensa,21.8782,85.1843
Thane,19.3654,73.3685
Thiruvananthapuram,8.4882,76.9476
Thoothukudi,8.8457,77.9938
Thrissur,10.527,76.2146
Tiruchirappalli,10.8071,78.6881
Tirupati,13.6316,79.4232
Tirupur,11.1672,77.3473
Tonk,26.1223,75.6632
Tumakuru,13.4193,76.881
Tumidih,23.7167,86.411
Udaipur,24.5787,73.6863
Udupi,13.527,74.8732
Ujjain,23.1885,75.7717
Ulhasnagar,19.2236,73.1672
Vapi,20.3735,72.9084
Varanasi,25.3356,83.0076
Vatva,22.959,72.6298
Vellore,12.9022,79.0611
Vijayapura,16.8144,75.8934
Vijayawada,16.5115,80.616
Visakhapatnam,17.6936,83.2921
Vrindavan,27.5754,77.6938
Yadgir,16.5744,76.9254
Yamunanagar,30.1231,77.2863
